PWSID,app_eligible
CA1510022,Yes
CA1510023,Yes
CA1510028,Yes
CA1510029,Yes
CA1510036,Yes
CA1510045,Yes
CA1510046,Yes
CA1510051,Yes
CA1610001,Yes
CA1610002,Yes
CA1610003,Yes
CA1610004,Yes
CA1610009,Yes
CA3310074,Yes
CA3410001,Yes
CA3410004,Yes
CA3410007,Yes
CA3410008,Yes
CA3410010,Yes
CA3410011,Yes
CA3410014,Yes
CA3410016,Yes
CA3410018,Yes
CA3410020,Yes
CA3410021,Yes
CA3410030,Yes
CA3500509,Yes
CA3500911,Yes
CA3510001,Yes
CA3510002,Yes
CA3510003,Yes
CA3600008,Yes
CA3600009,Yes
CA3600114,Yes
CA3600196,Yes
CA3600220,Yes
CA3600226,Yes
CA3600306,Yes
CA3600399,Yes
CA3610003,Yes
CA3610004,Yes
CA3610005,Yes
CA3610008,Yes
CA3610013,Yes
CA3610015,Yes
CA3610017,Yes
CA3610018,Yes
CA3610024,Yes
CA3610025,Yes
CA3610026,Yes
CA3610028,Yes
CA3610029,Yes
CA3610032,Yes
CA3610034,Yes
CA3610036,Yes
CA3610037,Yes
CA3610038,Yes
CA3610039,Yes
CA3610048,Yes
CA3610049,Yes
CA3610051,Yes
CA3610052,Yes
CA3610053,Yes
CA3610055,Yes
CA3610057,Yes
CA3610062,Yes
CA3610064,Yes
CA3610073,Yes
CA3610109,Yes
CA3610110,Yes
CA3610112,Yes
CA3610117,Yes
CA3610120,Yes
CA3610121,Yes
CA3610125,Yes
CA3700859,Yes
CA3700905,Yes
CA3700922,Yes
CA3700924,Yes
CA3700934,Yes
CA3701184,Yes
CA3710002,Yes
CA3710005,Yes
CA3710006,Yes
CA3710008,Yes
CA3710010,Yes
CA3710013,Yes
CA3710014,Yes
CA3710015,Yes
CA3710016,Yes
CA3710018,Yes
CA3710019,Yes
CA3710020,Yes
CA3710021,Yes
CA3710023,Yes
CA3710025,Yes
CA3710026,Yes
CA3710027,Yes
CA3710029,Yes
CA3710034,Yes
CA3710036,Yes
CA3710037,Yes
CA3810011,Yes
CA3910003,Yes
CA3910004,Yes
CA3910005,Yes
CA3910007,Yes
CA3910011,Yes
CA3910015,Yes
CA3910019,Yes
CA3910022,Yes
CA3910023,Yes
CA4000568,Yes
CA4000653,Yes
CA4010001,Yes
CA4010002,Yes
CA4010004,Yes
CA4010005,Yes
CA4010007,Yes
CA4010008,Yes
CA4010009,Yes
CA4010010,Yes
CA4010011,Yes
CA4010014,Yes
CA4010019,Yes
CA4010024,Yes
CA4010026,Yes
CA4010028,Yes
CA4010901,Yes
CA4100510,Yes
CA4110001,Yes
CA4110002,Yes
CA4110011,Yes
CA4110013,Yes
CA4110017,Yes
CA4110018,Yes
CA4110020,Yes
CA4110021,Yes
CA4110022,Yes
CA4110024,Yes
CA4110025,Yes
CA4110027,Yes
CA4200556,Yes
CA4210001,Yes
CA4210003,Yes
CA4210004,Yes
CA4210006,Yes
CA4210007,Yes
CA4210009,Yes
CA4210010,Yes
CA4210011,Yes
CA4210013,Yes
CA4210017,Yes
CA4210018,Yes
CA4210019,Yes
CA4210020,Yes
CA4300543,Yes
CA4300575,Yes
CA4310004,Yes
CA4310006,Yes
CA4310007,Yes
CA4310009,Yes
CA4310011,Yes
CA4310012,Yes
CA4310014,Yes
CA4310018,Yes
CA4310019,Yes
CA4310022,Yes
CA4310027,Yes
CA4400526,Yes
CA4400595,Yes
CA4400631,Yes
CA4400652,Yes
CA4410001,Yes
CA4410008,Yes
CA4410010,Yes
CA4410011,Yes
CA4410013,Yes
CA4410014,Yes
CA4410017,Yes
CA4510001,Yes
CA4510002,Yes
CA4510005,Yes
CA4510006,Yes
CA4510008,Yes
CA4510011,Yes
CA4510013,Yes
CA4510016,Yes
CA4600012,Yes
CA4700521,Yes
CA4700884,Yes
CA4710001,Yes
CA4710003,Yes
CA4710006,Yes
CA4710008,Yes
CA4710009,Yes
CA4710011,Yes
CA4810001,Yes
CA4810003,Yes
CA4810004,Yes
CA4810005,Yes
CA4810007,Yes
CA4810008,Yes
CA4810009,Yes
CA4810010,Yes
CA4810011,Yes
CA4810012,Yes
CA4810021,Yes
CA4810024,Yes
CA4810025,Yes
CA4810026,Yes
CA4900558,Yes
CA4910002,Yes
CA4910003,Yes
CA4910004,Yes
CA4910005,Yes
CA4910006,Yes
CA4910009,Yes
CA4910011,Yes
CA4910012,Yes
CA4910013,Yes
CA4910014,Yes
CA4910016,Yes
CA4910017,Yes
CA4910022,Yes
CA4910025,Yes
CA4910028,Yes
CA5000005,Yes
CA5000408,Yes
CA5010006,Yes
CA5010008,Yes
CA5010009,Yes
CA5010010,Yes
CA5010013,Yes
CA5010014,Yes
CA5010017,Yes
CA5010018,Yes
CA5010019,Yes
CA5010026,Yes
CA5010028,Yes
CA5010042,Yes
CA5100107,Yes
CA5110001,Yes
CA5110002,Yes
CA5110007,Yes
CA5200504,Yes
CA5210003,Yes
CA5210004,Yes
CA5210005,Yes
CA5304501,Yes
CA5400542,Yes
CA5400544,Yes
CA5400550,Yes
CA5400567,Yes
CA5400641,Yes
CA5400647,Yes
CA5400655,Yes
CA5400754,Yes
CA5400824,Yes
CA5400903,Yes
CA5400964,Yes
CA5401003,Yes
CA5402038,Yes
CA5403023,Yes
CA5403043,Yes
CA5403113,Yes
CA5403144,Yes
CA5403212,Yes
CA5403217,Yes
CA5410001,Yes
CA5410002,Yes
CA5410004,Yes
CA5410006,Yes
CA5410009,Yes
CA5410010,Yes
CA5410011,Yes
CA5410012,Yes
CA5410014,Yes
CA5410015,Yes
CA5410017,Yes
CA5410019,Yes
CA5410020,Yes
CA5410021,Yes
CA5410024,Yes
CA5410026,Yes
CA5410039,Yes
CA5410048,Yes
CA5410050,Yes
CA5500040,Yes
CA5510001,Yes
CA5510005,Yes
CA5510008,Yes
CA5510009,Yes
CA5510016,Yes
CA5602108,Yes
CA5602111,Yes
CA5602130,Yes
CA5610002,Yes
CA5610003,Yes
CA5610005,Yes
CA5610007,Yes
CA5610009,Yes
CA5610011,Yes
CA5610014,Yes
CA5610017,Yes
CA5610018,Yes
CA5610019,Yes
CA5610020,Yes
CA5610022,Yes
CA5610023,Yes
CA5610024,Yes
CA5610029,Yes
CA5610039,Yes
CA5610043,Yes
CA5610058,Yes
CA5700571,Yes
CA5700615,Yes
CA5710001,Yes
CA5710004,Yes
CA5710006,Yes
CA5710007,Yes
CA5800805,Yes
CA5800924,Yes
CA5810002,Yes
CA5810003,Yes
CA5810004,Yes
CA5810006,Yes
CA5000019,Yes
CA0410007,Yes
CA2702026,Yes
CA4310005,Yes
CA3400121,Yes
CA3400122,Yes
CA1910103,Yes
CA3200107,Yes
CA4300740,Yes
CA4110023,Yes
CA4700513,Yes
CA2710008,Yes
CA3110020,Yes
CA4510014,Yes
CA4300638,Yes
CA5800803,Yes
CA3310029,Yes
CA0210001,Yes
CA1210021,Yes
