PWSID,sys_name,agency,county,service_cxns_update,DAC_status,survey_start,survey_submit,survey1A_start,survey1A_submitted,app_started,app_complete,program_need_update,contact_priority,opp_contact_date,follow_up_date,total_arr_reported,ac_name_update,ac_email_update,ac_phone_update,agg_reporting,agg_PWSID,umbrella_org,survey_PWSIDs,TA_requested,reporter_name,reporter_email,reporter_phone
CA1910189,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,LOS ANGELES,46080,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,2289354,ROBERT DIPRIMIO,RJDIPRIMIO@SGVWATER.COM,626-448-6183,Yes,CA1910039,San Gabriel Valley Water Company,CA1910039; CA3610041; CA1910189,NA,Hai-Van Nguyen,htnguyen@sgvwater.com,626-448-6183
CA3710044,RINCON DEL DIABLO MWD (ID-1),DISTRICT 14 - SAN DIEGO,SAN DIEGO,7107,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,150863.66,CLINT BAZE,CBAZE@RINCONWATER.ORG,760-745-5522,Yes,CA3710018,Rincon del Diablo Municipal Water District,CA3710018; CA3710044,Y,Josefina  Traslavina-Washington,jwashington@rinconwater.org,760-745-5522 x104
CA5400682,PLAINVIEW MUTUAL WATER COMPANY,DISTRICT 12 - VISALIA,TULARE,187,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,16880,JUAN MARTINEZ,juan.martinez9826@yahoo.com,559-853-7957,Yes,CA5410039,Plainview Mutual Water Company,CA5400682; CA5410039,NA,Daniela Medel,Danielam@selfhelpenterprises.org,(559) 909-8516
CA3600010,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,21059,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,894905.6,CAROL THOMAS-KEEFER,carol.thomas-keefer@libertyutilities.com,760-240-8325,Yes,CA3610003,Liberty Utilities Apple Valley,CA3600010; CA3610003; CA3610118,NA,Jeremy  Caudell,jeremy.caudell@libertyutilities.com,760-240-8334
CA3610118,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,21059,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,894905.6,CAROL THOMAS-KEEFER,carol.thomas-keefer@libertyutilities.com,760-240-8325,Yes,CA3610003,Liberty Utilities Apple Valley,CA3600010; CA3610003; CA3610118,NA,Jeremy  Caudell,jeremy.caudell@libertyutilities.com,760-240-8334
CA1910021,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,LOS ANGELES,16588,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,1924881.35,FRANK HELDMAN,FRANK.HELDMAN@LIBERTYUTILITIES.COM,562-805-2105,Yes,CA1910211,Liberty Utilities,CA1910021; CA1910161; CA1910241; CA1910211,NA,Vanessa Lumley,vanessa.lumley@libertyutilities.com,(562) 805-2066
CA1910161,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,LOS ANGELES,16588,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,1924881.35,FRANK HELDMAN,FRANK.HELDMAN@LIBERTYUTILITIES.COM,562-805-2105,Yes,CA1910211,Liberty Utilities,CA1910021; CA1910161; CA1910241; CA1910211,NA,Vanessa Lumley,vanessa.lumley@libertyutilities.com,(562) 805-2066
CA1910241,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,LOS ANGELES,16588,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,1924881.35,FRANK HELDMAN,FRANK.HELDMAN@LIBERTYUTILITIES.COM,562-805-2105,Yes,CA1910211,Liberty Utilities,CA1910021; CA1910161; CA1910241; CA1910211,NA,Vanessa Lumley,vanessa.lumley@libertyutilities.com,(562) 805-2066
CA3610045,LAKE ARROWHEAD CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7885,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,86438,CATHERINE CERRI,ccerri@lakearrowheadcsd.com,909-336-7102,Yes,CA3610005,Lake Arrowhead Community Services District,CA3610005; CA3610045; CA3600087,NA,Catherine Cerri,ccerri@lakearrowheadcsd.com,NA
CA3600087,LAKE ARROWHEAD CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7885,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,86438,CATHERINE CERRI,ccerri@lakearrowheadcsd.com,909-336-7102,Yes,CA3610005,Lake Arrowhead Community Services District,CA3610005; CA3610045; CA3600087,NA,Catherine Cerri,ccerri@lakearrowheadcsd.com,NA
CA0400091,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA0405001,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA0410009,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA0410018,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA0605011,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA1000057,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA1100404,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA1200671,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA1210007,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA1500314,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA4500022,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA4510015,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5200574,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5400553,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5400665,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5400666,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5400767,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5402048,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5410034,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA5510007,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,54561.37,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Yes,CA0410011,"Del Oro Water Co., Inc.",CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,NA,Stephanie Sprague,ses@corporatecenter.us,(530) 809-3965
CA3310048,COACHELLA VWD: COVE COMMUNITY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,106916,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,213171.42,JAMES BARRETT,JBarrett@cvwd.org,760-398-2651,Yes,CA3310001,Coachella Valley Water District,CA3310001; CA3310048,NA,Vanessa Duong,VDuong@cvwd.org,(760) 398-2651
CA1210021,"ARCATA, CITY OF",DISTRICT 01 - KLAMATH,HUMBOLDT,6224,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,64680.05,EMILY SINKHORN,esinkhorn@cityofarcata.org,707-822-8184,NA,NA,NA,NA,Y,Ondrea Starzhevskiy,ostarzhevskiy@cityofarcata.org,707-825-2120
CA3200104,GRIZZLY LAKE CSD-CROCKER/WELCH,DISTRICT 02 - LASSEN,PLUMAS,70,NA,N,N,Yes,Yes,Yes,Yes,Yes,2,10/8/2021,NA,10832,LARRY TERRILL,glrid@att.net,530-832-5225,NA,NA,NA,NA,NA,NA,NA,NA
CA3301428,BLYTHE - CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,3446,NA,Y,N,NA,NA,Yes,Yes,Yes,1,10/8/2021,NA,7784.33,MALLORY CRECILIUS,msutterfield@cityofblythe.ca.gov,760-922-6161,No,NA,NA,NA,NA,Gustavo Rodriguez,blythewtp@frontier.com,(760)922-6611
CA3301630,BLYTHE - CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,3446,NA,Y,N,NA,NA,Yes,Yes,Yes,1,10/8/2021,NA,7784.33,MALLORY CRECILIUS,msutterfield@cityofblythe.ca.gov,760-922-6161,No,NA,NA,NA,NA,Gustavo Rodriguez,blythewtp@frontier.com,(760)922-6611
CA3010037,YORBA LINDA WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,26304,Non-DAC,Y - Ag,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,ROSANNE WESTON,rweston@ylwd.com,714-701-3102,Yes,CA3010037,Yorba Linda Water District,CA3010037,NA,Ariel Bacani,ABACANI@YLWD.COM,(714) 701-3104
CA3310036,WESTERN MWD - MURRIETA DIVISION,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2828,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,643726.07,PAUL RUGGE,PRugge@wmwd.com,951-789-5155,Yes,CA3310036,Western Municipal Water District,CA3310049; CA3310036; CA3310076,NA,Kevin Mascaro,kmascaro@wmwd.com,951-571-7160
CA5510001,TUD - SONORA/JAMESTOWN WATER SYSTEM,DISTRICT 11 - MERCED,TUOLUMNE,5053,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,DON PERKINS,dperkins@tuolumneutilities.com,209-532-5536EXT. 524,Yes,CA5510001,Tuolumne Utilities District,CA5500363; CA5510001; CA5510002; CA5510003; CA5510012; CA5510013; CA5510015; CA5510021; CA5510025; CA5510028; CA5510033,NA,Makayla Dillon,mdillon@tudwater.com,NA
CA2910003,"TRUCKEE-DONNER PUD, MAIN",DISTRICT 09 - SACRAMENTO,NEVADA,13293,NA,Y - Ag,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,BRIAN WRIGHT,brianwright@tdpud.org,530-582-3957,Yes,CA2910003,Truckee Donner Public Utility District,CA2910003; CA2910010,NA,Brian Wright,brianwright@tdpud.org,(530) 582-3957
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,40470,NA,Y - Ag,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,KENNETH REICH,KREICH@SWWC.COM,626-543-2575,Yes,CA1910205,Suburban Water Systems,CA1910205;CA1910200;CA1910046;CA1910059;CA1910174,NA,Ken Reich,kreich@swwc.com,626-543-2575
CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA4410014,SAN LORENZO VALLEY WATER DIST,DISTRICT 05 - MONTEREY,SANTA CRUZ,6469,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,170156.61,RICHARD ROGERS,rrogers@slvwd.com,831-430-4624,Yes,CA4410014,SAN LORENZO VALLEY WATER DISTRICT,CA4410002; CA4410014,Y,Kendra Reed,kreed@slvwd.com,831-430-4621
CA3910002,SAN JOAQUIN COUNTY - COLONIAL HEIGHTS,DISTRICT 10 - STOCKTON,SAN JOAQUIN,558,Non-DAC,Y - Ag,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,BEN GUZMAN,bguzman@sjgov.org,209-468-3091,Yes,CA3910002,San Joaquin County,CA3900504; CA3900512; CA3900517; CA3900523; CA3900543; CA3900558; CA3900563; CA3900702; CA3900714; CA3900720; CA3900722; CA3900724; CA3900927; CA3901075; CA3901092; CA3901113; CA3901159; CA3901172; CA3901216; CA3901248; CA3901303; CA3901322; CA3901337; CA3901348; CA3910002; CA3910009; CA3910010; CA3910014; CA3910017; CA3910024,NA,Ben Guzman,bguzman@sjgov.org,209 468 3090
