PWSID,System Name,Agency,County,Population,Service Connections,DAC Status,Survey requested funding,Survey estimated adjusted arrears,Survey 1A start?,Survey 1A complete?,App started?,App complete?,Program need?,OPP contact date,Follow up date,AC Name,AC Email,AC Phone,Aggregate reporting?,Aggregate PWSIDs,Umbrella Org,Technical assistance requested?,Reporter Name,Reporter Email,Reporter Phone
CA1210019,HYDESVILLE CO. W.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,1409,432,DAC,650,650,NA,NA,No,No,Yes,NA,12/1/2021,CAMERON YAPLE,hcwd707@gmail.com; hcwd@suddenlinkmail.com,707-768-3000,NA,NA,NA,NA,Cameron Yaple,yzfrider226@yahoo.com,707-768-3000
CA1310004,"EL CENTRO, CITY OF",DISTRICT 14 - SAN DIEGO,IMPERIAL,44079,10076,SDAC,39000,78234.62,NA,NA,No,No,Yes,NA,12/1/2021,HECTOR MUNOZ,hmunoz@ci.el-centro.ca.us; hmunoz@ecpw.org,760-337-4575,NA,NA,NA,NA,Hector Munoz,hmunoz@ecpw.org,760-337-4575
CA1310013,SEELEY CWD,DISTRICT 14 - SAN DIEGO,IMPERIAL,2010,377,SDAC,20613.96,1529.16,NA,NA,No,No,Yes,NA,12/1/2021,LESLIE HILL,lhill@seeleywaterdistrict.com,760-791-4345,No,NA,NA,Y,Aaron Garcia,agarcia@seeleywaterdistrict.com,(760) 332-9059
CA1410001,"BISHOP, CITY OF",DISTRICT 13 - SAN BERNARDINO,INYO,3879,1158,DAC,60803.69,0,Yes,No,No,No,Yes,NA,12/1/2021,DESTON DISHION,Ddishion@cityofbishop.com,760-873-8458,NA,NA,NA,NA,Deston Dishion,ddishion@cityofbishop.com,(760) 873-8458
CA1510028,MIL POTRERO MWC,DISTRICT 19 - TEHACHAPI,KERN,1600,2337,Non-DAC,58740.37,58740.37,NA,NA,No,No,Yes,NA,12/1/2021,JAMES R CARRUTH,rcarruth@mpmwc.com,661-242-3230,NA,NA,NA,NA,Rob Carruth,books@mpmwc.com,661 242-3230
CA1502465,PANAMA ROAD PROPERTY OWNERS ASSOC,DISTRICT 12 - VISALIA,KERN,45,16,SDAC,4653,4838,NA,NA,No,No,Yes,NA,12/1/2021,RENEE BROOKS,renee.brooks3655@gmail.com,661-203-6551,NA,NA,NA,NA,Amber Fuller,afuller@seacotech.com,661-588-9323
CA1502056,CLARK STREET COMMUNITY WELL,DISTRICT 19 - TEHACHAPI,KERN,90,20,SDAC,3025,3025,NA,NA,No,No,Yes,NA,12/1/2021,DEBBIE EOFF,debeoff@msn.com,760-379-2604,NA,NA,NA,NA,Deborah Eoff,debeoff@msn.com,760 379-2604
CA1500364,KERNVALE MUTUAL WATER CO,DISTRICT 19 - TEHACHAPI,KERN,75,32,Missing,5000,2393,NA,NA,No,No,Yes,NA,12/1/2021,DEBBIE LOSETH,ERSKINECREEKH20@AOL.COM,760-379-8309,NA,NA,NA,NA,Debbie Loseth,ErskineCreekH20@aol.com,760-379-8309
CA1710015,HIDDEN VALLEY LAKE CSD,DISTRICT 03 - MENDOCINO,LAKE,8227,2490,Non-DAC,57612.31,90981.68,NA,NA,No,No,Yes,NA,12/1/2021,DENNIS WHITE,DWHITE@hvlcsd.org,707-987-9201EXT. 212,NA,NA,NA,Y,Hannah Davidson,hdavidson@hvlcsd.org,(707) 987-9201
CA1710022,LAKE COUNTY CSA 20 - SODA BAY,DISTRICT 03 - MENDOCINO,LAKE,2129,645,SDAC,19545.3,19545.3,NA,NA,No,No,Yes,NA,12/1/2021,SCOTT HARTER,scott.harter@lakecountyca.gov,707-263-0119,No,NA,NA,Y,Jesus Salmeron,JESUS.SALMERON@LAKECOUNTYCA.GOV,(707) 263-0119
CA1710013,CALLAYOMI COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,1481,449,SDAC,10000,12092.51,NA,NA,No,No,Yes,NA,12/1/2021,TODD FIORA,ccwdoffice@att.net; toddfiora@yahoo.com,707-987-2180,NA,NA,NA,NA,Laura Pimentel,lkerrhansen@gmail.com,(707)294-7451
CA1710010,LOWER LAKE COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,1355,794,SDAC,7300.34,6550.34,NA,NA,No,No,Yes,NA,12/1/2021,BILLY INMAN,general.manager@mchsi.com,"707-994-6009, 707-994-0513",NA,NA,NA,NA,Billy Inman,billy.inman@llcwd.com,(707) 994-6009
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,LAKE,83,42,Non-DAC,2132,2132,NA,NA,No,No,Yes,NA,12/1/2021,BOB BISSON,bissons@charter.net,0,NA,NA,NA,NA,Robert Bisson,bissons@charter.net,805-441-6755
CA1805007,HERLONG PUBLIC UTILITY DISTRICT,DISTRICT 02 - LASSEN,LASSEN,2114,297,SDAC,12000,25365.56,NA,NA,No,No,Yes,NA,12/1/2021,SANDY RAFFELSON,sandy@herlongpud.com,530-827-3150,NA,NA,NA,NA,Sandy Raffelson,sandy@herlongpud.com,(530) 827-3150
CA1910020,EAST PASADENA WATER CO.,DISTRICT 22 - ANGELES,LOS ANGELES,9887,2988,Non-DAC,1,32919.76,NA,NA,No,No,Yes,NA,12/1/2021,LAWRENCE MORALES,LAWRENCE@EPWATER.COM,626-793-6189,NA,NA,NA,NA,Wayne Goehring,wayne@epwater.com,626-793-6189
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",DISTRICT 15 - METROPOLITAN,LOS ANGELES,16719,4973,Non-DAC,84791,31267.2,NA,NA,No,No,Yes,NA,12/1/2021,ANTHONY ESPARZA,aesparza@elsegundo.org,310-524-2746,NA,NA,NA,Y,Anthony Esparza,aesparza@elsegundo.org,(310) 524-2746
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,DISTRICT 16 - CENTRAL,LOS ANGELES,5289,1384,Non-DAC,28489.96,28489.96,NA,NA,No,No,Yes,NA,12/1/2021,RUSS BRYDEN,rbryden@dpw.lacounty.gov,626-300-3300,No,NA,NA,NA,Bing Hua,bhua@dpw.lacounty.gov,626-300-3337
CA1910157,SUNNY SLOPE WATER CO.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,30700,6325,Non-DAC,15000,22770.72,NA,NA,No,No,Yes,10/8/2021,12/1/2021,KEN TCHENG,Ken@sunnyslopewatercompany.com,626-287-5238,NA,NA,NA,NA,Troy Holland,sswc01_tholland@sbcglobal.net,626-287-5238
CA1910125,PICO WD,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,25284,5490,DAC,29440.22,27700.7,NA,NA,No,No,Yes,NA,12/1/2021,MARK GRAJEDA,MSGRAJEDA@PICOWATERDISTRICT.NET,562-692-3756EXT. 14,NA,NA,NA,NA,Lorraine Laible,accountspayable@picowaterdistrict.net,562-692-3657
CA1900849,LLANO DEL RIO WATER COMPANY,LPA49 - LA COUNTY,LOS ANGELES,510,179,DAC,2279.92,4190.49,NA,NA,No,No,Yes,10/8/2021,12/1/2021,JOHN BLALOCK,BLALOCKJ@MSN.COM,661-944-2939,NA,NA,NA,NA,John Blalock,crystalairecc@aol.com,661-944-2939
CA1910159,TRACT 180 MUTUAL WATER CO.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,14000,1184,SDAC,1350.84,1344.84,NA,NA,No,No,Yes,NA,12/1/2021,GEORGE PEREZ,GAPTRACT180WATER@YAHOO.COM,323-771-6682,NA,NA,NA,Y,George Perez,Gaptract180water@yahoo.com,323-771-6682
CA1900154,TIERRA BONITA MUTUAL WATER,LPA49 - LA COUNTY,LOS ANGELES,75,32,SDAC,1285,1285,NA,NA,No,No,Yes,NA,12/1/2021,DOUG GAUDI,GAUDITRUCKING@GMAIL.COM,661-810-5761,NA,NA,NA,NA,Doug Gaudi,tierrabonitawater@yahoo.com,(805) 651-9710
CA1900636,EL RANCHO MOBILE HOME PARK,LPA49 - LA COUNTY,LOS ANGELES,215,76,SDAC,1,0,Yes,Yes,No,No,Yes,NA,12/1/2021,ERIC GRABOFF,eric@parkavenueam.com,714-460-5524,NA,NA,NA,NA,Kym  Lim,kym@parkavenueam.com,(949) 538-2343
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",DISTRICT 22 - ANGELES,LOS ANGELES,76443,14289,DAC,NA,0,Yes,No,No,No,Yes,10/8/2021,DDW,ARTURO CERVANTES,acervantes@sogate.org,323-563-9567,NA,NA,NA,NA,Christopher Castillo,ccastillo@sogate.org,NA
CA1910246,LAND PROJECTS MUTUAL WATER CO.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,1500,544,Non-DAC,6416.11,6418.17,NA,NA,No,No,Yes,10/8/2021,12/1/2021,GABRIEL ENGELAND,WATERDOG6116@NETZERO.NET; HOUGHTONWATER@GMAIL.COM,661-948-2550,NA,NA,NA,NA,John Houghton,houghtonwater@gmail.com,6619482550
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,DISTRICT 16 - CENTRAL,LOS ANGELES,559,250,Non-DAC,5554.25,5554.25,NA,NA,No,No,Yes,NA,12/1/2021,RUSS BRYDEN,rbryden@dpw.lacounty.gov,626-300-3300,No,NA,NA,NA,Bing Hua,bhua@dpw.lacounty.gov,626-300-3337
CA2010008,MADERA CO MD10A-MADERA RANCHOS,DISTRICT 11 - MERCED,MADERA,3172,944,Non-DAC,44371.33,44371.33,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2010011,MADERA CO SA1-INDIAN LAKES,DISTRICT 11 - MERCED,MADERA,1562,473,Non-DAC,18376.8,18376.8,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2010006,MADERA CO SA3-PARKSDALE,DISTRICT 11 - MERCED,MADERA,1789,542,DAC,102182.97,102182.97,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2010004,MADERA CO CMD19-PARKWOOD,DISTRICT 11 - MERCED,MADERA,1637,496,SDAC,36481.86,36481.23,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000561,MD 08 NORTH FORK WATER SYSTEM,LPA50 - MADERA COUNTY,MADERA,264,75,SDAC,23023.8,23023.8,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000549,MD 05 MOUNTAIN RANCHES,LPA50 - MADERA COUNTY,MADERA,239,27,DAC,7033.29,11023.48,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000544,MADERA CO MD1-HIDDEN LAKE ESTATES,DISTRICT 11 - MERCED,MADERA,162,49,Non-DAC,11023.48,11023.48,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000553,MD 28 RIPPERDAN SELF HELP,LPA50 - MADERA COUNTY,MADERA,48,17,SDAC,7587.38,7587.38,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000724,SA 14 CHUK CHANSE SUBDIVISION,LPA50 - MADERA COUNTY,MADERA,100,31,DAC,7225.52,7225.52,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000757,MD 63 MEADOW SPRINGS RANCH,LPA50 - MADERA COUNTY,MADERA,300,85,DAC,3192.39,4589.69,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000554,MD 33 FAIRMEAD,LPA50 - MADERA COUNTY,MADERA,568,164,Non-DAC,7366.21,7366.21,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000728,MD 37 LA VINA,LPA50 - MADERA COUNTY,MADERA,350,100,SDAC,4476,4476,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000690,MD 73 QUARTZ MOUNTAIN,LPA50 - MADERA COUNTY,MADERA,375,127,Non-DAC,7097.32,7097.32,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000552,MD 24 TEAFORD MEADOW LAKES,LPA50 - MADERA COUNTY,MADERA,150,66,DAC,3705.57,3705.57,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000727,MD 36 EASTIN ARCOLA,LPA50 - MADERA COUNTY,MADERA,80,16,SDAC,2638.32,2638.32,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000865,MD 58 SIERRA HIGHLANDS,LPA50 - MADERA COUNTY,MADERA,75,25,SDAC,1703.98,1703.98,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000551,MD 07 MARINA VIEW HEIGHTS,LPA50 - MADERA COUNTY,MADERA,200,83,Non-DAC,5404.61,5404.61,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000729,MADERA CO SA16 SUMNER HILL-WATER SYSTEM,DISTRICT 11 - MERCED,MADERA,135,41,Non-DAC,4526.99,4526.99,NA,NA,No,No,Yes,NA,12/1/2021,PHIL TOLER,philip.toler@co.madera.ca.gov,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000557,MD 43 MIAMI CREEK KNOLLS,LPA50 - MADERA COUNTY,MADERA,100,26,Non-DAC,4143.81,4143.81,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000849,MD 60 DILLON ESTATES,LPA50 - MADERA COUNTY,MADERA,150,38,Non-DAC,3192.39,3192.39,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000851,MD 40 SUNSET RIDGE ESTATES,LPA50 - MADERA COUNTY,MADERA,150,27,Non-DAC,1929.12,1929.12,NA,NA,No,No,Yes,NA,12/1/2021,CHAD BROWN,chad.brown@madera-county.com,559-675-7820,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2000692,MD 95 RANCHOS WEST,LPA50 - MADERA COUNTY,MADERA,150,27,Non-DAC,318.37,318.37,NA,NA,No,No,Yes,NA,12/1/2021,MARTY DUVALL,Marty.Duvall@madera-county.com,559-675-7811,NA,NA,NA,NA,Chad Brown,chad.brown@co.madera.ca.gov,559-517-7152
CA2400201,VOLTA COMMUNITY SD,DISTRICT 11 - MERCED,MERCED,156,44,SDAC,1135,900,NA,NA,No,No,Yes,NA,12/1/2021,JOHN LEONARD,info@voltawater.com,209-829-3406,NA,NA,NA,NA,Scott Crist,scrist@weststarwater.com,209/827-1799
CA2500503,CALIFORNIA PINES C.S.D.,DISTRICT 01 - KLAMATH,MODOC,300,168,SDAC,3000,3990,NA,NA,No,No,Yes,NA,12/1/2021,RON SHERER,CALPINESCSD@FRONTIERNET.NET,530-233-6695,NA,NA,NA,NA,Ron Sherer,calpinescsd@frontiernet.net,530-233-2766
CA2610003,BRIDGEPORT PUD,DISTRICT 13 - SAN BERNARDINO,MONO,851,258,Non-DAC,6779.71,6266.34,NA,NA,No,No,Yes,NA,12/1/2021,LYNNETTE CAMPBELL,Bridgeportpud@gmail.com,760-932-7251,NA,NA,NA,Y,Thomas Mullinax,thomas.mullinax@yahoo.com,(909) 730-8827
CA2610001,MAMMOTH CWD,DISTRICT 13 - SAN BERNARDINO,MONO,8234,3455,DAC,204000,5279.03,NA,NA,No,No,Yes,NA,12/1/2021,MARK BUSBY,mbusby@mcwd.dst.ca.us,909-934-2596EXT. 275,NA,NA,NA,NA,Jeffrey Beatty,jbeatty@mcwd.dst.ca.us,(760) 934-2596
CA2700687,PESANTE RD WS #02,LPA57 - MONTEREY COUNTY,MONTEREY,120,40,Non-DAC,19826.95,19826.95,NA,NA,No,No,Yes,NA,12/1/2021,TOM GHIGLIOTTO,tomg76@hotmail.com,0,NA,NA,NA,NA,Russell Hatch,mcsiwatermanager@gmail.com,831-659-5360
CA2710023,TASCO SPRECKELS WATER COMPANY,DISTRICT 05 - MONTEREY,MONTEREY,1079,327,Non-DAC,14400.86,14400.86,NA,NA,No,No,Yes,NA,12/1/2021,KERRY VARNEY,kerry@taproduce.com,831-455-4500,NA,NA,NA,NA,Russell Hatch,mcsiwatermanager@gmail.com,831-659-5360
CA2701904,SAN JERARDO COOP WS,LPA57 - MONTEREY COUNTY,MONTEREY,249,67,Non-DAC,5778.23,5778.23,NA,NA,No,No,Yes,NA,12/1/2021,LYNETTE REDMAN,redmanl@co.monterey.ca.us,831-796-6038,NA,NA,NA,NA,Russell Hatch,mcsiwatermanager@gmail.com,831-659-5360
CA2701658,ARROYO CENTER WC,LPA57 - MONTEREY COUNTY,MONTEREY,130,65,Non-DAC,3162.6,3162.6,NA,NA,No,No,Yes,NA,12/1/2021,CINDA MUZYLOWSKI,MUZYX4@GMAIL.COM,831-241-1653,NA,NA,NA,NA,John Metzer,metzer@metzerfarms.com,(831) 261-6238
CA2701423,ECHO VALLEY RD WS #05,LPA57 - MONTEREY COUNTY,MONTEREY,45,16,Non-DAC,1540,1540,NA,NA,No,No,Yes,NA,12/1/2021,DAVE BURNSIDE,DAVEBURNSIDE50@YAHOO.COM,831-277-0459,NA,NA,NA,NA,Fred Nohr,fnohr@baypropertymgmt.com,831-422-5614
CA2810004,"ST. HELENA, CITY OF",DISTRICT 03 - MENDOCINO,NAPA,6152,2681,Non-DAC,212915,134815.68,NA,NA,No,No,Yes,NA,12/1/2021,CLAYTON CHURCH,cchurch@cityofsthelena.org,0,NA,NA,NA,Y,Finance Utility Billing,Finance@cityofsthelena.org,707-968-2750
CA2810005,"AMERICAN CANYON, CITY OF",DISTRICT 03 - MENDOCINO,NAPA,20990,5280,Non-DAC,190553,37998.01,NA,NA,No,No,Yes,NA,12/1/2021,DOMINIC PATRICK,dpatrick@cityofamericancanyon.org,707-258-1269,NA,NA,NA,Y,Dominic Patrick,dpatrick@cityofamericancanyon.org,(707) 704-0341
CA2910001,CITY OF GRASS VALLEY,DISTRICT 09 - SACRAMENTO,NEVADA,4947,2500,SDAC,250000,255425.1,NA,NA,No,No,Yes,NA,12/1/2021,TREVER VAN NORT,treverv@cityofgrassvalley.com,530-274-4371,NA,NA,NA,Y,Catrina Olson,colson@cityofgrassvalley.com,(530) 274-4302
CA2910002,CITY OF NEVADA CITY,DISTRICT 09 - SACRAMENTO,NEVADA,3001,1260,SDAC,19000,16071.27,NA,NA,No,No,Yes,NA,12/1/2021,JOAN PHILLIPE,joan.phillipe@nevadacityca.gov,530-265-2496,NA,NA,NA,Y,Michael Faudoa,michael.faudoa@nevadacityca.gov,(530) 265-8668
CA3010030,CITY OF SAN JUAN CAPISTRANO,DISTRICT 08 - SANTA ANA,ORANGE,37457,11401,Non-DAC,474298.42,367389.73,NA,NA,No,No,Yes,NA,12/1/2021,ERIC BAUMAN,ebauman@sanjuancapistrano.org,949-487-4312,NA,NA,NA,NA,AMY MASSEY,amassey@sanjuancapistrano.org,(949) 443-6306
CA3010023,CITY OF NEWPORT BEACH,DISTRICT 08 - SANTA ANA,ORANGE,67134,26817,Missing,243758,243757,NA,NA,No,No,Yes,NA,12/1/2021,STEFFEN CATRON,scatron@newportbeachca.gov,949-718-3402,NA,NA,NA,Y,Steffen  Catron,scatron@newportbeachca.gov,949-718-3402
