Water System No.,Water System Name,Regulating Agency,County,Total Number of Service Connections,AC Name,AC Email,AC Phone,Arrearage Application,Aggregated Application,Aggregated PWSIDs,Residential Arrearage Accounts,New Residential Arrearage Accounts,Residential Arrearage Amount,New Residential Arrearage Amount,CommercialArrearage Accounts,New Commercial Arrearage Accounts,Commercial Arrearage Amount,New Commercial Arrearage Amount,Total Reported Arrearages,Administrative Costs,Total Max Allotment,Total Funding Request,Mailing Address Street 1,Mailing Address Street 2,"City, State, Zip",Completed on,Uploaded Files
3310012,ELSINORE VALLEY MWD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,46202,GREG THOMAS,gthomas@evmwd.net,951-674-3146,Application Summary,No,N/A,3086,3208,1442471.03,1631577.64,52,57,37563.78,43891.79,1675469.43,50264.08,1725733.51,1725733.51,P.O. Box 3000,,"LAKE ELSINORE, CA 92531-3000",10-28-2021,1052_CA3310012_439364_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310012_439364_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310012_439364_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310012_439364_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310012_439364_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3110008,CITY OF ROSEVILLE,DISTRICT 02 - LASSEN,PLACER,46193,SEAN BIGLEY,sbigley@roseville.ca.us,916-774-5513,Application Summary,No,N/A,522,244,130039.43,50654.51,40,19,19445.63,4944.03,55598.54,1667.96,57266.50,57266.5,2005 Hilltop Circle,,"ROSEVILLE, CA 95747",11-08-2021,1052_CA3110008_439360_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3110008_439360_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3110008_439360_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3110008_439360_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3110008_439360_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,LOS ANGELES,46080,ROBERT DIPRIMIO,RJDIPRIMIO@SGVWATER.COM,626-448-6183,Application Summary,Yes,CA1910039; CA3610041; CA1910189,4848,3916,2306871.00,2131249.00,349,293,172335.00,158105.00,2289354.00,68680.62,2358034.62,2358034.62,P.O.BOX 6010,,"EL MONTE, CA 91734-2010",10-28-2021,1052_CA1910039_439680_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910039_439680_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910039_439680_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910039_439680_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910039_439680_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610039,SAN BERNARDINO CITY,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,45413,MIGUEL GUERRERO,miguel.guerrero@sbmwd.org,909-384-5091,Application Summary,No,N/A,5242,2764,1205126.70,948541.24,430,284,127268.91,91367.01,1039908.25,31197.25,1071105.50,1071105.5,PO BOX 710,,"SAN BERNARDINO, CA 92402",11-01-2021,1052_CA3610039_439802_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610039_439802_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610039_439802_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610039_439802_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610039_439802_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310038,RANCHO CALIFORNIA WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,43762,RICH OTTOLINI,OttoliniR@ranchowater.com,951-296-6954,Application Summary,No,N/A,1753,1745,326115.74,346802.42,73,64,17040.82,14257.98,361060.40,10831.81,371892.21,371892.21,P.O. BOX 9017,,"TEMECULA, CA 92590",11-02-2021,1052_CA3310038_439380_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310038_439380_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310038_439380_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310038_439380_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310038_439380_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710025,SWEETWATER AUTHORITY,DISTRICT 14 - SAN DIEGO,SAN DIEGO,33284,CARLOS QUINTERO,cquintero@sweetwater.org,619-409-6701,Application Summary,No,N/A,1423,946,652089.79,522979.00,120,76,145829.63,92109.07,615088.07,18452.64,633540.71,633540.71,505 Garrett Ave,,"CHULA VISTA, CA 91910",11-03-2021,1052_CA3710025_439913_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710025_439913_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710025_439913_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710025_439913_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710025_439913_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4810003,CITY OF FAIRFIELD,DISTRICT 04 - SAN FRANCISCO,SOLANO,32301,MICHAEL HETHER,MHether@fairfield.ca.gov,707-428-7485,Application Summary,No,N/A,1648,1648,461989.10,461989.10,25,25,16660.68,16660.68,478649.78,14359.49,493009.27,493009.27,1000 WEBSTER STREET,,"FAIRFIELD, CA 94533-4836",10-12-2021,1052_CA4810003_439288_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4810003_439288_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4810003_439288_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4810003_439288_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4810003_439288_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Application Summary,Yes,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,2005,2235,608932.29,628435.72,76,73,25251.86,23525.16,651960.88,19558.83,671519.71,671519.71,23780 NORTH PINE STREET,,"NEWHALL, CA 91355",11-03-2021,1052_CA1910017_439362_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910017_439362_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910017_439362_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910017_439362_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910017_439362_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910126,"POMONA - CITY, WATER DEPT.",DISTRICT 15 - METROPOLITAN,LOS ANGELES,30432,NICK CAPOGNI,NICK_CAPOGNI@CI.POMONA.CA.US,909-620-2248,Application Summary,No,N/A,1905,1905,707087.15,707087.15,139,139,139264.20,139264.20,846351.35,25390.54,871741.89,871741.89,148 N. HUNTINGTON ST,,"POMONA, CA 91768",11-09-2021,1052_CA1910126_439733_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910126_439733_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910126_439733_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910126_439733_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910126_439733_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5610017,VENTURA WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,VENTURA,29056,SUSAN RUNGREN,srungren@ci.ventura.ca.us,805-652-4523,Application Summary,No,N/A,3437,367,716481.21,311031.78,212,26,145526.00,24009.20,335040.98,10051.23,345092.21,345092.21,PO Box 99,,"VENTURA, CA 93002",11-01-2021,1052_CA5610017_439878_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610017_439878_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610017_439878_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610017_439878_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5610017_439878_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710027,VISTA IRRIGATION DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,28151,BRETT HODGKISS,bhodgkiss@vidwater.org,760-597-3162,Application Summary,No,N/A,267,182,270906.69,147210.76,14,10,5846.02,2608.88,149819.64,4494.59,154314.23,154314.23,1391 Engineer Street,,"VISTA, CA 92081",10-27-2021,1052_CA3710027_439190_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710027_439190_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710027_439190_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710027_439190_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710027_439190_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910234,WALNUT VALLEY WATER DISTRICT,DISTRICT 16 - CENTRAL,LOS ANGELES,27106,ERIK HITCHMAN,ehitchman@wvwd.com,909-595-1268,Application Summary,No,N/A,460,378,154294.02,149582.28,11,12,5906.25,5955.85,155538.13,4666.14,160204.27,160204.27,271 S. BREA CANYON ROAD,,"WALNUT, CA 91789",10-27-2021,1052_CA1910234_439667_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910234_439667_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910234_439667_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910234_439667_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910234_439667_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910102,PALMDALE WATER DIST.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,26797,DENNIS LAMOREAUX,DLAMOREAUX@PALMDALEWATER.ORG,661-947-4111,Application Summary,No,N/A,2034,2034,721061.00,721061.00,23,23,14236.00,14236.00,735297.00,22058.91,757355.91,757355.91,2029 EAST AVENUE Q,,"PALMDALE, CA 93550",10-07-2021,1052_CA1910102_439413_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910102_439413_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910102_439413_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910102_439413_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910102_439413_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3910011,"TRACY, CITY OF",DISTRICT 10 - STOCKTON,SAN JOAQUIN,24694,KULDEEP SHARMA,kuldeep.sharma@ci.tracy.ca.us,209-831-6320,Application Summary,No,N/A,2981,1975,810904.00,681216.14,57,22,63895.00,4880.87,686097.01,20582.91,706679.92,706679.92,3900 Holly Drive,,"TRACY, CA 95304",11-03-2021,1052_CA3910011_439531_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3910011_439531_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3910011_439531_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3910011_439531_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3910011_439531_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4410010,SANTA CRUZ WATER DEPARTMENT,DISTRICT 05 - MONTEREY,SANTA CRUZ,24554,ROSEMARY MENARD,rmenard@cityofsantacruz.com,831-420-5205,Application Summary,No,N/A,1012,987,464968.84,461804.48,146,92,221183.71,187684.13,649488.61,19484.66,668973.27,668973.27,212 Locust Street Suite A,,"SANTA CRUZ, CA 95060",11-10-2021,1052_CA4410010_439277_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4410010_439277_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4410010_439277_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4410010_439277_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4410010_439277_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010004,MESA  WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,24358,TRACY E. MANNING,TRACYM@MESAWATER.ORG,949-207-5468,Application Summary,No,N/A,547,543,183837.59,183837.59,140,139,35078.99,35078.99,218916.58,6567.50,225484.08,225484.08,1965 PLACENTIA AVENUE,,"COSTA MESA, CA 92627",11-10-2021,1052_CA3010004_439983_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010004_439983_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010004_439983_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010004_439983_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010004_439983_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610004,WEST VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,23153,SHAMINDRA MANBAHAL,smanbahal@wvwd.org,909-875-1804,Application Summary,No,N/A,1995,1524,910145.32,771510.42,63,50,59730.18,53241.22,824751.64,24742.55,849494.19,824751.64,855 W. BASE LINE RD,,"RIALTO, CA 92376",11-15-2021,1052_CA3610004_439248_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610004_439248_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610004_439248_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610004_439248_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610004_439248_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310005,DESERT WATER AGENCY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,22860,MARK KRAUSE,mkrause@dwa.org,760-323-4971,Application Summary,No,N/A,256,256,129382.11,129382.11,81,81,204115.26,204115.26,333497.37,10004.92,343502.29,343502.29,P.O. BOX 1710,,"PALM SPRINGS, CA 92263",11-10-2021,1052_CA3310005_439408_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310005_439408_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310005_439408_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310005_439408_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310005_439408_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
